baby 啤啤	婴儿。
乘机食晒	趁着有机会把所有东西都吃光了
乜mat1嘢	①什么②什么东西
乜东东	①什么东西②什么情况。
乜乜物物	这个那个的，如此等等
乜事	什么事
乜事咁巴闭	有什么重要的事情让你们这样张扬。
乜事都冇	什么事也没发生过
乜人	什么人，谁
乜冇用	怎么会没有用。
乜唔知	你別想骗我，我什么都知道
乜嘢东东	①这是什么玩艺儿②这是什么东西
乜嘢事干	有什么事情
乜嘢事都冇	什么事都没有发生过
乜嘢唔识	有什么我是不懂的
乜嘢喉底	①是什么样的状况②有什么基础，有什么关系。
乜嘢料	①什么样的背景②是什么样的情况。
乜嘢新鲜萝白皮	你也不瞧瞧自己是什么资历，敢在这说三道四
乜嘢环境	现在的状况是怎样的，有什么情况。
乜嘢话	①什么话（方言）②你都说了些什么话
乜噉	为什么会这样[注]多数系「乜噉嘅（怎么/为什么会这样）」
乜头乜路	①来路、情况②什么来头。
乜料	什么状况
乜款	什么款色
乜水	是谁[注]某些局部场合稍带贬义，例：你系乜水啊，噉样同我讲嘢（你是什么东西，这样跟我说话）。
乜系你	怎么会是你。
乜话	说什么[注]另词：乜说话（这么客气），例：A-多谢㖞，B-乜说话
乜说话	客套话，哪里哪里
乜都假	①许多东西都作假的②说什么也没用③什么都不管了
乜都做得出	什么事都干得出来
乜都冇晒	什么都没有了，全完了
乜都听笛	什么都听他的话，听他指挥
乜都唔惊	什么也不担心，不害怕。
乜都唔识	什么事情都不懂
乜都唱	对什么东西都感兴趣
乜都噏得出	什么话都敢说
乜都搞掂	什么事情都做好了，办妥了
乜都有	什么东西都有。
乜都有齐晒	什么东西都準备好了，都齐全了
乜都肯	干什么都愿意。
乜都讲晒	毫不保留，全讲出来
九出十三归	指高利贷者盘剥借钱人。你借100元，他借给你时实际上只给90元。你还钱时必须还130元
九咁长	猜拳用语，代表九
九唔搭八	形容两人没有什么联系，如同陌路
九大簋gwai2	旧式筵席的一种有九大碗菜，也叫「九碗头」
九大簋——任食唔嬲	九个菜一般在喜庆场合出现，菜好量足，随便吃
九成九	绝大部分，可能性很大。
九成当十足	给老板干活，投入90％的力气也算十足了，过得去了
九曲十三湾	①江河多曲折②道路多拐弯
九月九，雷收口	天气谚语，到农历九月初九，就不会打雷了。
九横梯	①有九级横木的梯子②比喻难于对付之人
九长长	划拳用语，表示「九」
乞hat1儿兜	乞丐乞讨用的小碗、小盘
乞人憎	讨人嫌，令人恼火也说成「得人憎」
乞儿仔唱歌——穷开心	做人要有志气，穷有穷风流，饿有饿快活
乞儿唔留隔夜鲊Za2	乞丐讨来的饭不会留到第二天
乞儿唔留隔夜鲊——餐搵餐食	指找一顿，吃一顿，没有隔夜粮
乞儿（音衣）	乞丐
乞唔倒	讨不到饭和钱。
乞米	要饭[注]例：你咁鬼懒，（第日）听乞米啦。
乞食	讨饭
乡下佬买大鞋	民间故事：旧时有一个愚笨的乡下人，头一次进城，站在鞋店前问价。档主说：「鞋码大小同价，任君选择。」乡下人想，肯定最大的最合算，于是买了双最大的。一路上穿着不合脚的大鞋，洋相尽出。回到村口，他到鱼塘边的茅厕大便，刚一解裤子蹲下便听见水声叮咚响，拉大便时却不闻水响。他不禁诧异纳闷：「屎未疴而水先响，奇哉怪也！屎既疴而水不响，怪哉奇也！」原来，水先响是他裤兜的铜钱抖落水中，而水未响是大便则全拉到那双大鞋裡去了。后来人们用乡下佬买大鞋来嘲笑一些乡下人见识少，好贪小便宜。
书要读，饭要焗	①煮好的饭要焖一下才好吃②读书也一样的道理。
买乜冇乜	想买那些东西，他偏偏没有
买低	买下来
买咸鱼放生——唔顾死活	指只顾拼命做事，不顾后果
买嘢	购买东西
买孖展	源自赌马，引申为买彩票买双份。
买定就离手	赌场术语，指买大小等游戏时迅速放好筹码
买定棺材掘定氹——听死	等死，比喻为自己找后路。
买水	旧俗丧礼的一种形式，也叫担幡买水，由孝子贤孙完成
买盐都唔咸	形容所得报酬只有一丁点
买落	已经买下了
买起佢	黑社会雇杀手收拾他
买餸	买菜
乱估	乱猜一气
乱作古仔	胡乱编故事
乱发噏风	胡乱说话，不负责任
乱吠狗——不分好丑	谓不分敌友。
乱咁嚟	乱来的，胡乱干
乱咁弹琴——冇谱	形容做事没有条理，没有章法，瞎干一通
乱咁谂	胡思乱想
乱咁闹人	随意地、动不动就骂人
乱咁食嘢	没有节制，乱吃东西
乱噏ngap1	乱说一通
乱噏一通	胡乱说的话，不算数的
乱噏嘢	乱说话，乱说一通
乱噏廿四	乱说一气
乱捉葫芦	拼命吹牛，越吹越大
乱攞	乱拿人家的东西
乱晒	乱成一团
乱晒坑	乱得一塌糊涂
乱晒大坑	乱作一团，乱七八糟，乱得很
乱晒龙	乱糟糟、杂乱无章。
乱糟糟	乱成一团
乱著	随便穿衣服
乱车廿四	瞎扯一通
乱食嘢	乱吃东西。
乱龙	太乱了
乳猪	未断奶的小猪
乳鸽	未长齐毛羽的幼鸽
乸型	形容男子有女性的性格，缺少阳刚气
乾隆皇的契仔——周日清	形容大手大脚乱花钱，天天都把钱用完、花光。
争一啲	还差一点点
争一步脚	还差一点距离就到了
争乜鬼	有什么好争的，争什么争。
争住	先欠著
争住佢	老是袒护他
争住先	先欠著
争佢钱	欠了他的钱
争倒	为自己争到好处
争只脚	打麻将三缺一
争唔得落	想对他们偏心也不行，因为他们也有很多差错
争唔落	他这么多缺点，想偏袒他也不行。
争啖气	争一口气
争啲	还差一点点
争啲唔掂	差一点搞砸了
争埋单	争著出钱请客
争天洞地	就像天和地之间，差得太远了
争头搥	纷纷跳起争头球
争好远	还差一大截呢
争实佢哋	老是袒护他们
争得远	差远啦
争拗	争论、吵架
争紧啲嘢	还差一点东西没準备好
争紧成个圩	两个人的学识、能力等相差较远
争食	互相争斗抢食
事关	因为，与某某有关
事后诸葛亮	比喻马后炮，还说风凉话。
事头	①店铺经理、老板②主人
事头婆	老板娘
事干	事情
事干多多	①事儿太多②斥人多管閒事。
事急马行田	象棋术语，遇到紧急事情只好不按条条框框办了
二一添作五——两份分	珠算术语，谓大家平分算啦
二世祖	来源于秦二世皇帝，指承受祖业而不务正业的子弟
二五仔	指告密的叛徒、奸细
二八乱穿衣	二月、八月期间，冷暖交替，穿衣服比较混乱
二八天	二月、八月的天气，泛指冷暖交替的季节
二八天时	农历二月、八月时的天气，正是季节转换的时候。
二分四	旧时对打工者的俗称
二十五天唔出鸡仔——坏蛋	一般鸡蛋三周内可孵出小鸡，否则蛋有问题
二厘馆	旧时指最低档的小饭馆
二叔公割禾——望下截	①割稻子要看下边②比喻盼望下次获得好收成
二叔公去剃头——发廊（发狼）	「二叔公」是一个虚拟的人物，现在剃头铺少，发廊多比喻突然变得兇狠
二叔公嫁女——一掷千金	此时没出阁的女孩等于「千金」，虽然嫁女会有些舍不得，但也有豪气干云的气魄。
二叔公莳田——听殃	莳田即插秧，插得不好的秧等于遭殃
二叔婆	泛指上了年纪的女人，等于北方称「大妈」、「大婶」
二四六八单——冇得变	扑克游戏，有一种叫「斗牛」，若五张牌中分別是二四六八，而另一张是单数的话，无论怎么变，也变不出一只「牛」，这盘要输掉了
二奶仔	妾侍生的儿子，后专指被人歧视，低人一等
二奶仔——低人一等	非正牌的东西命运不济，这是古已有之的定律
二奶命	与第一无缘，运气总是差一点
二打六	①不称职，能力不足②粗糙，质量差
二打六——未够斤两	形容半桶水，没有什么本事
二摊货	二手货，旧货
二撇鸡	上唇蓄著八字胡
二水货	次等的，挑剩下的货
二花面挢眼泪——离行离列	挢即抹的意思，比喻离谱，互不相干
二趾长过公，唔死一世穷	民间流传，如果第二只脚趾比第一只长，则这辈子运气欠佳
于是乎	于是，这是保留古文用法的典型
互射点球	通常是在加时赛还分不出胜负时举行的残酷的、令人窒息的点球大战
五五波	①势均力敌，旗鼓相当②平局收场，握手言和。
五十五十	一半对一半，百分之五十的概率
五十勾ngau1	五十岁。
五时花，六时变	①性情不定②见异思迁。
五更八早	指大清早的
五更饭	五更天吃的饭，据说可以补身子
五月吹北风，花生实落空	农家谚语，五月刮北风，很容易把花生抽的花打走，影响收成
五爪金龙	用五根手指抓取东西吃
五瓜金龙	大蜥蜴
五花腩	猪腹部的五花肉
五花茶	凉茶的一种，包括菊花、金银花、腊梅花、鸡蛋花、木棉花。
五行欠金	俗称手头缺钱。
五零星散	零碎分散
五颜六色	①五光十色②病得严重③受害很惨
五龙	扑克游戏，玩「十点半」时，所得五张牌的牌点较小而未爆煲，赢的倍数则较多
些小	点点。
些微	微不足道。
交低	交待、放下
交关	厉害
交埋	一起交
交失	传球时给对方断了球
交得靓	传接球很漂亮
交波	①指传球②倒脚
交返龙门	回传给守门员。
亲家奶奶	亲家母，男女亲家互称。
亲戚唔共财，共财断往来	亲戚之间最好不要把财产混在一块，不然连亲戚都没得做了
人一世，物一世	人和物的存在只有瞬间，所以要抓紧时间
人不可貌相，海不可斗量	评价一个人不能以他的外貌作为标準，正如海水不能够用斗去量一样
人仔细细	人小，年龄小
人吓人，吓死人	特別在晚上不要躲在暗处吓唬別人
人哋	別人
人哋话	別人说，人家说的话
人哋话事偈	就像某人说的那样。
人唔似人，鬼唔似鬼	比喻落魄，人不像人，鬼不像鬼的。
人唔笑，狗都吠	某人做了一件很可笑的事情
人善被人欺，马善被人骑	告诫人们做人不要太软弱，不然就会让人欺负
人嚟	来人
人嚟人去	人来人往，十分热闹。
人多好做作	众人拾柴火焰高
人多好做作，人少好食作	人多好办事，人少好「分赃」
人多手脚乱	人多干活很容易手忙脚乱
人多熠狗都唔腍	人多意见多，很难统一行事。
人多虾人少	人多的一方欺负人少的一方
人头湧湧	形容繁华地段，人多拥挤
人头猪脑	谓不会动脑筋的人。
人头饭	在酒楼吃饭，让服务员按在座的人头所打的饭
人夹人缘	人各有要好的朋友，正所谓「物以类聚，人以群分」
人客	客人
人工	工钱
人心不足蛇吞象	据民间传说：很久很久以前，有一位小孩名字叫做「象」，他养了一条大蚺蛇（蟒蛇），很听话，很通人性。阿象的母亲生了一种怪病，人家说要用蛇心来做「药引」才能治好。大孝子阿象于是与大蚺蛇商量，蛇同意了。阿象拿着小刀钻入蛇肚，割取了一点蛇心为母治病，大蚺蛇忍痛成全了阿象的孝子之心。经过几次割取蛇心，母亲的病情有所好转。阿象为了更快治好母亲的病，他一时起了「贪心」之念。钻入蛇肚后，他使劲割去蛇的一大块心脏，大蚺蛇疼痛难忍，合上它那血盆大口，结果阿象葬身蛇腹。后来，人们便用「人心不足蛇吞象」来形容做人要戒除「贪心」之念，要知足，才会有好结果。
人心冇厌足	人的心永远都不会满足的。
人心肉造	形容人也是有慈悲之心的
人心隔肚皮	一个人从表面看，看不出是好是坏
人怕冤，牛怕鞭，蛇仔怕火烟	人最怕受冤枉，正像牛怕鞭子、蛇怕被烟火熏那样。
人怕激气，牛怕穿鼻	人最怕受別人的气，牛最怕被穿鼻子
人怕输理，狗怕聋尾	尾巴垂下来的狗就像没道理的人。
人怕𠼮，米怕筛	人怕別人多次恳求，正像米怕筛子那样
人情大过证明	人面熟好办事，有时连证明也不需要
人情归人情，数目要分明	人面虽然熟，但账务还是要算清楚。
人情紧过债	当你手头拮据时很可能遇上朋友办喜事，「做人情」，送红包，你如何是好。
人情薄过纸	人情有时是很现实的，某人在某个位置退休，很快就会人走茶凉。
人摇福薄，树摇叶落	老人家劝年轻人坐在那不要摇来摇去，会福薄
人敬我一尺，我敬人一丈	做人就要互相尊重，別人尊敬我，我将十倍奉还
人无千日好，花无百日红	人的高潮低潮正如花开花落那样，这是自然规律
