𫵱	cat6 【俗】男生殖器。
一便	jat1 bin6 (物体或地方的)一边，一面。 ～高～低│行埋～ (走到一边去)。
一只屐噉	jat1 zek3 kek6 gam2 【熟】【喻】【俗】非常辛苦(屐：木拖板；噉：那样)。今日做到～。(今天干得辛苦得要死。)
一只狗噉	jat1 zek3 gau2 gam2 【熟】【喻】【俗】非常辛苦。我哋～，佢响嗰度䟴䟴脚咊！(我们干得那么辛苦，他在那儿摇着二郎腿！)
一只雀噉	jat1 zek3 zoek3-2 gam2 【喻】像一只鸟儿那样，比喻打扮得很漂亮(带揶揄口吻)。你今日着到～，约咗男仔出街啊？(你今天穿得花枝招展的，约了男孩子上街吗)？
一哥	jat1 go1 【喻】【谑】第一把手；最强的人。喺呢度我系～ (在这儿我说了算。)│佢乜都想做～。(他在什么事情上都争强好胜。)
一唔系	jat1 m4 hai6 ①连接有相反的因果关系的两件事，表示「如果不…就要…」；要么；要不然。快啲，～赶唔切喇！(快点儿，要不然赶不及了！)②成对地使用，连接两个并列的事物、人、动作或状态等，表示二者选择其一；要么；要不然。～你，～我，点都要去一个㗎嘞。(要么你，要么我，怎么也要去一个的了。)③表示提出建议；要么；要不然。～我去睇下先。(要不然我先去看一看。)[又作「唔系」]
一唔系嘅话	jat1 m4 hai6 ge3 waa6-2 同「一唔系①」(但口气略重一些)。你小心先好，～好易出事㗎。(你小心才好，要不然的话很容易出事的。)[又作「唔系嘅话」]
一啲	jat1 dit1 一点儿。就噉～边处够啊？(就这么一点儿哪儿够呢？)
一啲	jat1 di1 一些。叫～人过嚟呢便。(叫一些人到这边来。)│我攞咗～。(我拿了一些。)
一头半个月	jat1 tau4 bun3 go3 jyut6 一个、半个月的时间；不多的日子。我～就去睇佢一次。(我一个月、半个月的就去看他一次。)
一头家	jat1 tau4 gaa1 整个家庭的各种事务。结咗婚有～，边仲得闲去玩啊。(结了婚家里有一大堆事务，哪儿还有空去玩儿啊。)
一头雾水	jat1 tau4 mou6 seoi2 【喻】不明白怎么回事(雾水：露水)。唔系珍姐话我知，我都～。(要不是珍姐告诉我，我也摸不着头脑。)
一字咁浅	jat1 zi6 gam3 cin2 【喻】像「一」字那么浅显，比喻极为浅显。噉嘅道理～嗻，点会唔明啊？(这样的道理浅显极了，怎么会不懂呢？)
一字角	jat1 zi6 gok3 角落。戾手掉埋～。(一甩手扔到角落里去。这是一句惯用语，表示不屑一顾)│缩喺～做乜嘢？(躲在角落里干什么？)[又作「一二角」]
一实	jat1 sat6 ①同「实」。～系你搞错咗。(肯定是你搞错了。)│包你～满意。②表示确定(做法)。噉就～系噉做啦。(那就定下来这么干吧。)
一岩一窟	jat1 ngaam4 jat1 fat1 表面凹凸不平。块地畀人掘到～。(这片地给挖得凹凸不平。)
一戙都冇	jat1 dung6 dou1 mou5 【喻】连一垛也没有了(戙：垛，指赌博用的筹码垛子)，指全部输光，比喻毫无办法。样样试过都唔得，而家系～嘞。(各种办法尝试过都不行，现在是束手无策了。)
一把火	jat1 baa2 fo2 【喻】生气。听佢噉讲我真系～。(听他这么说我真恼火。)
一日到黑	jat1 jat6 dou3 haak1(hak1) 同「成日」。佢两个～嘈交。(他们俩整天吵架。)
一日到黑	jat1 jat6 dou3 haak1(hak1) 一天到晚。～冇得闲过，做到冇晒表情。(一天到晚没空闲过，干得人也蔫了。)
一时三刻	jat1 si4 saam1 haak1(-2) 很短的时间。咁多嘢～点揾得齐啊？(这么多东西一时间哪找得齐呢？)
一是	jat1 si6 同「定」。我都搞唔清系前便嗰个～后便嗰个。(我都弄不清是前面那一个还是后面那一个。)
一本通书睇到老	jat1 bun2 tung1 syu1 tai2 dou3 lou5 【喻】只会抱着老皇历，不懂适时变通。
一枝公	jat1 zi1 gung1 【谑】独自一人。佢做乜嘢都系～，从来唔会同人一齐做。(他做任何事都是独自一人，从来不会和别人一块儿干。)
一牌(排)	jat1 paai4(-2) 一段时间，可以是一会儿，也可以是若干日子；从说话者的口气，是要表示时间不短(但也不会非常长)。我喺度等咗～㗎喇。(我在这儿等了好一阵子了。)│王生有～冇嚟打拳嘞，唔知做乜呢？(王先生有些日子没来打拳了，不知道有什么事呢？)
一眼关七	jat1 ngaan5 gwaan1 cat1 同时注意着、照顾到多方面的情况(七：指前、后、左、右、上、下、中)。佢坐喺度要～，唔系咁易做㗎。(他坐在那儿要同时关照几个方面，不是那么容易干的。)
一碟斋	jat1 dip6 zaai1 【喻】混乱(斋：指什锦素菜，由多种用料拌成)。我走咗两日啫，返嚟就见～嘞。(我走了才两天，回来就见到乱糟糟了。)
一种米养百种人	jat1 zung2 mai5 joeng5 baak3 zung2 jan4 同一种米养出来的人却有很多种。这是说世上的人良莠不齐。一般是用在感叹某些人的品质差得今人诧异的时候。
一窿蛇	jat1 lung1 se4 【喻】【贬】同一伙的坏人。佢同嗰几个嘢都系～。(他跟那几个家伙都是一丘之貉。)
一竹篙打死一船人	jat1 zuk1 gou1 daa2 sei2 jat1 syun4 jan4同「一竹篙揇沉一船人」。
一竹篙揇沉一船人	jat1 zuk1 gou1 naam3 cam4 jat1 syun4 jan4 【喻】不分青红皂白，把有关的人全都加以贬斥或打击(揇：打)。你唔见咗银包都唔能够～，话我哋个个都系贼㗎。(你不见了钱包也不能不分青红皂白，说我们每个人都是小偷嘛。)
一箸夹中	jat1 zyu6 gaap3 zung3 【熟】【喻】一下子就猜中；准确地估计到(箸：筷子)。哼，畀我～ 喇系咪？(喏，让我一下猜个准，对不对？)
一箸夹中	jat1 zyu6 gaap3 zung3 【喻】事情一下就做成功；碰巧地—下碰上成功(箸：筷子)。佢居然～，得咗个头彩。(他居然一下子碰上。得了个头彩。)
一系	jat1 hai6 同「一唔系②③」。～上，～落，唔得噉喺中间㗎。(要不上去，要不下来，不能这样在中间的。)│～畀佢算啦。(要么给他算了。)
一脚踢	jat1 goek3 tek3 【喻】包干；包揽。佢嗰份工系～嘅。(他那份工作是包干的。)│买菜、籴米、煮饭～。(包揽买菜、买米、煮饭所有的活儿。)
一路	jat1 lou6 ①表示动作不间断或情况不改变；一直。～做到完为止。(一直干完为止。)②连用时表示两种动作同时进行。一边……一边……。 ～做功课～睇电视点得㗎！(一边做功课一边看电视怎么能行呢！)
一身蚁	jat1 san1 ngai5 【喻】惹上很多麻烦。你同佢嗰班嘢黐埋，包你～。(你跟他们那帮人粘一块儿，肯定你麻烦少不了。)
一轮	jat1 leon4 一段时间(一般是若干日子)。我喺啲间店度做过～。(我在他那间店子里干过一段时间。)
一适间	jat1 sik1 gaan1 待会儿。我～再嚟。(我一会儿再来。)
一镬泡	jat1 wok6 pou5 【喻】混乱。呢件事畀佢搞到～。(这件事让他弄得乱了套。)
一阵	jat1 zan6(-2) 一会儿。我喺度坐～。(我在这儿坐一会儿。)
一阵间	jat1 zan6(-2) gaan1 侍会儿。 ～攞畀你。(过一会儿拿给你。)
一阵间	jat1 zan6(-2) gaan1 一会儿。[常快读为「因间」jan1gaan1]
一额汗	jat1 ngaak6 hon6 心情紧张。你都唔知，嗰阵我～啊！(你不知道，当时我好紧张啊！)
一齐	jat1 caai4 一同；一起。我哋大家～做啦。(我们大家一起做吧。)[普通话指同时做某事，与「一起」意思不一样；广州话很少说「一起」，不管一同做某事还是同时做某事，都说「～」]
丁	ding1 个(用于表示人少时)。就得嗰五～人，点做啊？(就只有这五个人，怎么干啊？)
丁屋	ding1 uk1 为新生的男孩子建造的房屋(丁：男丁)。
丁香	ding1 hoeng1 【谑】小。呢啲饺子咁～嘅？(这些饺子这么小的？)
七国咁乱	cat1 gwok3 gam3 lyun6 【喻】混乱(七国指战国时期)。萝卜头打嚟嗰阵，成个广州～，个个都谂住走路。(日本鬼子打来那阵子，整个广州一片混乱，人人都想着逃难他 方。)[旧时说书讲战国故事称为「讲七国」]
七彩	cat1 coi2 色彩缤纷；鲜艳。～汽球│～金鱼。
七星茶	cat1 sing1 caa4 一种以7味中药配制而成的儿童饮料，有开胃、利尿等功用。
万字夹	maan6 zi6 gaap3-2 回形针。因其可用以夹住多张纸(「万字」形容纸上的字多)，故称。大号～。
万能老倌	maan6 nang4 lou5 gun1 【喻】原指什么都能演的演员(老倌：戏曲演员)，比喻多面手。
三九两丁七	sam1 gau2 loeng5 zing1 cat1 人少。都9点嘞，仲系～。(都9点了，还是只有几个人。)
三六	saam1 luk6 【谑】狗肉。[「三六九」是广州人熟悉的戏剧人物；广州话「九」、「狗」音同，以「～」指「九」(狗)是隐尾谜格]
三几	saam1 gei2 不多的数量，一般指三以上五以下。你界～个我啦。(你给我五个吧。)
三只手	saam1 zek3 sau2 扒手。
三姑六婆	saam1 gu1 luk6 po4 【贬】泛指各种爱管闲事且俗气的老年妇女。[古代的三姑六婆指尼姑、道姑、卦姑、牙婆(买卖人口者)、媒婆、师婆(巫婆)、虔婆(鸨母)、药婆(女 郎中)、稳婆(接生婆)，广州话意义从此中变来]
三尖八角	saam1 zim1 baat3 gok3 外形多棱角；不端正整齐。呢嚿石头～，成支狼牙棒噉。(这块石头棱角真多，活像一根狼牙棒。)
三扒两拨	saam1 paa4 loeng5 but6 动作简单、麻利地做事。洪师傅～就搞掂咗。(洪师傅三下两下就弄好了。)
三文鱼	saam1 man4 jyu4-2 【外】鲑鱼之一种。[英语salmon]
三朝两日	saam1 ziu1 loeng5 jat6 【婉】去世(只用于谈论未来之事时)。而家早作安排，万一老窦有个～，都好办啲啊嘛。(现在早作安排， 万一父亲有个山高水低，也好办一些嘛。)
三朝回门	saam1 ziu1 wui4 mun4 结婚三天后回娘家(广东的婚俗、[简作「回门」]
三板斧	saam1 baan2 fu2 【谑】【贬】能耐有限。老王亦就系～，你唔靠得晒佢㗎。(老王也就那么点儿能耐，你不能全靠他。)[来自旧时说书谓唐朝程咬金的武艺只在三板斧。]
三板斧	saam1 baan2 fu2 【喻】仅有的本事。我系得～咋。(我就这么点儿本事了。)[参见「板斧」。]
三点头	saam1 dim2 tau4 「⺌」头和「⺍」头。
三索线	saam1 sok3 sin3 三索锦蛇。爬行纲，游蛇科。一种无毒蛇。长1 5-1 8米。背面黄褐色，有两条宽的黑色纵带；两侧各有两条狭的黑色纵带，其中下面一条间断不连，至身体中部即消失。眼的后侧有放射状黑色狭带3条，其中两条达上唇边缘，另一条和 枕部黑色横带相接。腹面白色。生活于平原和山地，以蛙、蜥蜴、鼠、鸟为食。
三脚凳	saam1 goek3 dang3 【喻】【贬】【谑】同「生虫拐杖」。
三脚鸡	saam1 goek3 gai1 【喻】小型三轮汽车。现已少见。
三蛇羹	saam1 se4 gang1 以银环蛇、金环蛇和过树溶的肉为主要用料熬成的羹汤。为粤菜中的著名菜式。
三行	sam1 hong4-2 建筑行业。旧以泥瓦工、粗木工、架子工(或油漆工)为建筑三行当，后泛指建筑业。我哋系做～嘅。(我们是搞建筑的。)
三行佬	saam1 hong4-2 lou2 建筑工人。[参见「三行」]
三衰六旺	saam1 seoi1 luk6 wong6 人生的祸福(实际运用中常偏于指祸)。你呢几千文唔好乱使，万一有个～，都有得支应啊嘛。(你这几千块不要乱花，万一有个旦夕祸福，也有得应付嘛。)
三鸟	saam1 niu5 鸡、鸭、鹅的总称。而家正系食～嘅时候，价钱平啊嘛。(现在正是吃鸡、鸭、鹅的时候，价钱便宜呀。)
上	soeng5 由低处到高处；上。～楼│行～山顶。(走上山顶。)[此与普通话「上」一样。但广州话「上」字有两种读法。高处的意思(「上面」)读第6声，由低到高的意思(「上去」)读第5声，这种区别是普通话所没有的]
上便	soeng6 bin6 港澳人指称内地，特指广东或广州。而家啲香港人都知到喺～港置产有利可图。(现在香港人都知道在内地购置物业有利可图。)[原来专指广州。广州和香港为岭南主要城市，并称「省港」，地理上一南一北，所以分称「上便」、「下便」。又作「上边」。参见「上嚟」。]
上便	soeng6 bin6 上边，上面。叫佢上嚟～。(叫他到上面来。)
上嚟	soeng5 lai4 从香港到广州来。你下个月仲～吗？(你下个月还从香港来广州吗？)[广东人习惯以广州为上，香港为下。]
上嚟	soeng5 lai4 上来。～二楼倾啊。(上来二楼谈吧。)│将份文件攞～畀我。(把那份文件拿上来给我。)
上堂	soeng5 tong4 上课(堂：课堂)。～钟(上课铃)。下午几时～啊？(下午几点钟上课？)
上契	soeng5 kai3 认干亲。你两个好似两仔爷噉，不如～啦，噉咪有名有份啰！(你们俩好像父子一般，不如认个干亲，不就名正言顺啦吗！)
上屋搬下屋，唔见一箩谷	soeng6 uk1 bun1 haa6 uk1 m4 gin3 jat1 lo4 guk1 即使是从上房搬到下房，也会有所损失。是说搬家总会有碰坏或丢失东西的情况。旧时习惯以谷为财物的比照物，「一箩谷」指不多不少的损失。[「屋」与「谷」押韵]
上得山多终遇虎	soeng5 dak1 saan1 do1 zung1 jyu6 fu2 【熟】【喻】冒险的事情做得多了，总有一天会出事。
上心	soeng5 sam1 放在心上；对要做的事情留心。老刘对你呢件事好～㗎。(老刘很把你这件事放字心上。)
上昼	soeng6 zau3 上午。听日～我嚟揾你。(明天上午我来找你。)
上杂	禽畜的肝、心、肾等内脏(为杂碎中较上乘的部分。)牛～。
上水(碎)	soeng6 seoi2 同「上杂」。
上汤	soeng6 tong1 以鸡、肉、鱼等为主要用料熬制的烹饪用汤(上：上乘)。～云吞(配以烹饪用汤的馄饨面条)。
上牌(排)	soeng6 paai4(-2) 同「先排(牌)」。～热到死。(前一阵子热得要死。)[又作「上一排(牌)」、「上嗰排(牌)」、「上一轮」、「上嗰轮」]
上高	soeng6 gou1 上边，上面。就趸喺～啦！(就放在上边吧！)
下	haa5 收摘(树上的果实)。～荔枝│呢片橙都～得㗎喇。(这一片的橙子都可以收摘了。)
下	haa5 与「好」、「几」等配合使用，放在表状态的词语后面，表示程度高(比单用「好」、「几」时的程度略低一些」佢生得几高～。(他长得相当高。)│嗰只都好大～。(那个也挺大的。)
下低	haa6 dai1 下边，下面。～唔够大。(下边小了点儿。)
下便	haa6 bin6 广州人指称港澳(主要指香港)。你哋～啲卫生搞得好过我哋上便。(你们香港的卫生搞得比我们广州好。)[又作「下边」、「落便」。参见「上便」、七B5「落去」。]
下便	haa6 bin6 下边，下面。～系个花园。(下面是个花园。)
下午茶	haa6 ng5 caa4 参见「饮茶②」。
下底	haa6 dai2 (物体的)下面，底下。床～(床底下)│桥～(桥底下)
下昼	haa6 zau3 下午。
下晏	haa6 aan3 下午。
下栏	haa6 laan4 禽畜肉类中品质较次的部分；下水。猪～
下栏	haa5 laan4 服务性行业的老板把小费收入或其他额外收入的一部分分给员工，作为外快，称为「～」。
下栏	haa5 laan4 下手；杂活。技术上你揸好，啲～就嗌胡须仔做得嘞。(技术上你抓好，那些杂活儿就叫小胡子干就行了。)
下爬	haa6 paa4 下巴。
下爬轻轻	haa6 paa4 heng1 heng1 【喻】【贬】随便说话；不切实际地夸口(下爬：下巴)。你而家就～，做唔倒点办？(你现在夸口夸得轻松，办不到怎么办？)
不单只(止)	bat1 daan1 zi2 同「不特」。佢～自己唔嚟，连阿祥都拉埋走。(他不光自己不来，还把阿样也拉走了。)
不时	bat1 si4 每时每刻。你要～谂实呢件事。(你要时刻想着这件事。)[也表示「时常」、「随时」之意，则同于普通话]
不溜	bat1 lau6-1 一向；一直。我～搭咿路车㗎。(我一向乘这路线的车。)
不特	bat1 dak6 表示有进一层的意思；不仅；不但。～佢唔知，我都唔知。(不仅他不知道，我也不知道。)
不特只(止)	bat1 dak6 zi2 同「不特」。猫～食老鼠，仲食鱼。(猫不仅仅吃老鼠，还吃鱼。)
丑	cau2 使人难为情(一般是使用言语)；羞。大家一齐～佢。(大家一起羞他。)
丑	cau2 ①羞；难为情。大家一笑，佢就～到面都红晒。(大家一笑，她就羞得满脸通红。)②羞耻。你个人真系唔知～嘞！(你这人真是不知羞耻！)
丑人	cau2 jan4(-2) 得罪人的人(与「好人」相对而言)。你做好人，我变咗～，我唔制！(你唱白脸，我成了唱红脸的，我不干！)│呢匀我做咗～嘞。(这回我得罪人了)
丑怪	cau2 gwaai3 羞；难为情。我唔敢去，好～啊！(我不敢去，好难为情啊！)
